crop,n_kgco2e_per_kg,p_kgco2e_per_kg,k_kgco2e_per_kg,land_kgco2e_per_ha,sequestration_credit_kgco2e_per_ha,water_requirement_mm
rice,4.7,1.0,0.6,1200,0,1200
wheat,4.7,1.0,0.6,800,0,450
maize,4.7,1.0,0.6,700,0,500
cotton,4.7,1.0,0.6,1100,0,700
soybean,4.7,1.0,0.6,400,80,450
sugarcane,4.7,1.0,0.6,900,0,1500
groundnut,4.7,1.0,0.6,600,50,500
pigeonpea,4.7,1.0,0.6,350,120,400
chickpea,4.7,1.0,0.6,300,100,350
mungbean,4.7,1.0,0.6,280,100,350
blackgram,4.7,1.0,0.6,280,100,350
lentil,4.7,1.0,0.6,280,100,350
barley,4.7,1.0,0.6,650,0,450
sorghum,4.7,1.0,0.6,700,0,400
pearlmillet,4.7,1.0,0.6,650,0,350
fingermillet,4.7,1.0,0.6,550,0,400
jute,4.7,1.0,0.6,800,0,1200
banana,4.7,1.0,0.6,500,0,1200
grapes,4.7,1.0,0.6,700,0,600
mango,4.7,1.0,0.6,550,0,800
orange,4.7,1.0,0.6,480,0,800
pomegranate,4.7,1.0,0.6,500,0,600
watermelon,4.7,1.0,0.6,450,0,400
papaya,4.7,1.0,0.6,500,0,800
coconut,4.7,1.0,0.6,400,0,1500
sunflower,4.7,1.0,0.6,750,0,500
mustard,4.7,1.0,0.6,700,0,300
sesamum,4.7,1.0,0.6,600,0,300
linseed,4.7,1.0,0.6,600,0,350
safflower,4.7,1.0,0.6,650,0,350
